ENC Cell,Latest Edition No.,Latest Update No.,Latest Edition Issue Date,Latest Update Issue Date
BR221060,6,2,09-09-2021,22-03-2022
BR221070,8,13,22-09-2020,01-06-2022
BR221080,5,4,30-03-2020,04-01-2022
BR321100,2,1,27-08-2019,16-03-2020
BR321200,8,2,18-03-2022,23-05-2022
BR321300,10,,21-04-2022,
BR321400,10,1,22-09-2021,24-05-2022
BR321500,3,3,12-06-2018,12-03-2020
BR321600,4,,04-11-2021,
BR321700,2,1,13-06-2018,11-02-2019
BR321800,7,4,23-09-2020,19-04-2022
BR321900,5,,30-09-2021,
BR322000,2,5,16-09-2017,03-03-2021
BR322100,2,7,03-02-2010,04-12-2019
BR322200,4,5,26-03-2021,22-06-2022
BR322300,2,3,23-10-2020,23-05-2022
BR322400,2,3,04-05-2018,22-03-2022
BR322500,4,,23-03-2022,
BR322600,2,7,12-09-2017,03-02-2022
BR322700,3,,22-03-2022,
BR322800,4,3,22-06-2021,08-02-2022
BR322900,7,1,01-12-2021,19-01-2022
BR323000,6,8,12-05-2020,23-05-2022
BR323100,7,8,01-03-2021,07-06-2022
BR323200,6,6,25-08-2020,03-05-2022
BR323300,3,3,31-03-2021,23-03-2022
BR323400,3,,28-05-2021,
BR323500,6,,01-02-2022,
BR323600,2,4,16-09-2017,02-07-2020
BR325110,2,1,16-09-2017,25-06-2019
BR400011,1,1,02-07-2008,28-03-2019
BR400051,2,,17-09-2020,
BR400202,2,2,08-04-2016,06-11-2019
BR400203,2,6,01-04-2014,03-03-2021
BR400204,9,4,04-06-2020,20-04-2022
BR400221,6,1,22-03-2022,02-06-2022
BR400242,8,2,11-06-2020,22-04-2021
BR400243,1,1,15-03-2010,08-11-2012
BR400244,1,3,17-03-2010,24-10-2018
BR400302,5,1,03-02-2021,03-08-2021
BR400303,8,2,28-08-2020,24-05-2022
BR400304,11,2,26-10-2021,22-03-2022
BR400305,7,,13-01-2021,
BR400306,2,,19-12-2018,
BR400411,3,3,18-06-2018,07-03-2022
BR400412,5,,19-04-2022,
BR400710,6,6,17-04-2020,20-04-2022
BR400720,7,,07-06-2022,
BR400810,2,1,12-07-2021,05-01-2022
BR400910,2,1,25-03-2021,23-05-2022
BR400920,2,1,28-05-2019,07-08-2019
BR400930,6,2,27-10-2021,17-02-2022
BR401104,4,2,25-05-2020,06-01-2022
BR401110,7,,26-04-2022,
BR401210,3,1,15-12-2020,14-11-2021
BR401404,3,1,22-07-2021,09-09-2021
BR401410,11,3,08-06-2021,06-01-2022
BR401420,5,3,14-10-2021,02-02-2022
BR401501,8,1,04-02-2022,21-06-2022
BR401506,11,2,04-10-2021,07-06-2022
BR401507,5,1,24-05-2022,03-06-2022
BR401508,4,1,26-02-2021,16-09-2021
BR401607,3,5,27-07-2021,08-03-2022
BR401622,11,,13-06-2022,
BR401631,5,2,27-10-2021,20-04-2022
BR401632,3,8,21-11-2016,11-11-2021
BR401640,2,2,08-04-2021,27-01-2022
BR401711,6,,18-02-2022,
BR401804,12,,15-03-2022,
BR401820,7,2,26-10-2021,07-06-2022
BR401910,6,1,27-03-2021,20-12-2021
BR402110,6,1,13-06-2022,21-06-2022
BR404021,1,,22-11-2021,
BR404023,3,1,08-12-2021,20-12-2021
BR404025,1,,10-06-2021,
BR404027,2,,25-04-2022,
BR404030,1,2,08-06-2021,23-12-2021
BR404032,2,,19-05-2022,
BR41406A,8,,12-04-2022,
BR425119,2,,09-11-2021,
BR425120,5,,09-02-2022,
BR425121,7,,20-04-2022,
BR441011,6,3,03-10-2017,10-03-2021
BR441012,3,,31-05-2022,
BR441021,3,3,16-05-2017,27-05-2019
BR441022,4,,21-01-2022,
BR441031,5,1,09-12-2021,08-02-2022
BR441032,16,,21-01-2022,
BR500206,3,3,06-11-2018,17-06-2021
BR500320,4,2,08-07-2021,14-11-2021
BR500321,2,2,05-02-2014,20-06-2022
BR500413,7,,21-04-2022,
BR500414,3,,13-06-2022,
BR500701,5,9,04-04-2019,19-04-2022
BR500704,2,,16-04-2010,
BR500711,1,3,02-10-2017,13-01-2021
BR500802,3,1,12-07-2021,07-01-2022
BR500830,2,2,29-05-2018,05-01-2022
BR500901,2,3,02-08-2017,16-08-2019
BR500902,5,1,08-04-2020,22-06-2022
BR500906,7,1,25-10-2021,05-01-2022
BR501001,4,,14-03-2022,
BR501003,3,,18-09-2018,
BR501102,6,,14-06-2022,
BR501103,3,1,28-05-2021,06-01-2022
BR501105,1,2,06-06-2014,18-12-2018
BR501108,1,2,17-03-2010,15-03-2012
BR501201,7,,08-01-2021,
BR501401,15,2,05-09-2021,05-01-2022
BR501404,2,,14-10-2021,
BR501405,6,,21-04-2022,
BR501420,4,3,28-05-2021,03-02-2022
BR501503,3,,12-02-2021,
BR501504,2,3,06-01-2017,09-10-2018
BR501507,2,,23-05-2022,
BR501511,22,,13-06-2022,
BR501512,14,,08-06-2022,
BR501513,3,1,11-02-2019,29-08-2019
BR501623,16,4,14-10-2021,10-05-2022
BR501624,3,2,16-06-2021,28-01-2022
BR501625,1,,25-08-2021,
BR501636,9,1,21-02-2022,20-04-2022
BR501643,4,,28-01-2021,
BR501644,3,1,01-08-2019,31-01-2022
BR501703,1,5,10-07-2008,25-10-2018
BR501712,7,1,24-02-2022,08-03-2022
BR501713,5,3,15-12-2021,15-06-2022
BR501804,5,,15-03-2022,
BR501821,7,,27-04-2022,
BR501822,7,2,28-04-2022,25-05-2022
BR501841,4,1,10-08-2021,27-08-2021
BR501908,5,1,14-10-2021,14-03-2022
BR502101,7,,13-06-2022,
BR502113,3,,11-01-2022,
BR502133,2,1,21-04-2022,14-06-2022
BR504211,1,3,05-09-2019,13-07-2020
BR504215,1,1,23-09-2019,13-07-2020
BR504217,1,,07-01-2020,
BR504411,2,1,05-10-2021,26-04-2022
BR504413,2,1,31-08-2021,19-04-2022
BR504415,1,1,09-08-2021,23-09-2021
BR504417,2,1,04-10-2021,09-05-2022
BR525121,3,1,21-04-2022,05-05-2022
BR540231,2,,23-09-2021,
BR540261,1,,10-06-2021,
BR540291,1,1,04-06-2021,23-12-2021
BR540292,1,,04-06-2021,
BR540293,1,,07-06-2021,
BR540321,3,,19-04-2022,
BR541031,3,3,04-07-2018,04-01-2022
BR601401,9,1,26-08-2021,14-06-2022
BR601841,3,,10-08-2021,
BR640321,1,,04-06-2021,
BR640322,1,,04-06-2021,
BR640323,1,,04-06-2021,
C1615454,4,2,18-04-2016,06-08-2018
CA172005,1,,04-06-2021,
CA173369,1,3,13-08-2009,15-02-2018
CA173378,1,,13-08-2009,
CA176140,8,1,28-05-2015,09-09-2015
CA179245,0,,16-04-2021,
CA270084,2,8,10-09-2014,11-02-2021
CA270388,3,3,07-09-2016,25-01-2021
CA270389,5,,29-04-2020,
CA270390,5,,10-02-2021,
CA270724,2,3,08-09-2016,04-12-2017
CA273094,8,,27-01-2020,
CA273096,6,1,07-07-2009,25-02-2010
CA273097,5,3,03-02-2010,21-11-2018
CA273257,7,,21-05-2019,
CA273258,5,1,02-11-2011,12-09-2018
CA273259,7,1,09-04-2010,30-08-2019
CA273274,6,2,09-04-2014,04-06-2019
CA273298,7,1,08-10-2015,22-11-2018
CA273313,8,,10-06-2015,
CA273329,4,2,13-05-2013,15-11-2016
CA273344,4,2,17-09-2013,19-09-2018
CA273352,7,1,01-08-2017,12-11-2019
CA273357,5,2,12-03-2015,21-11-2018
CA273422,2,,15-05-2018,
CA273424,2,,08-04-2014,
CA273428,1,,27-03-2013,
CA273432,1,,26-03-2013,
CA273433,2,,03-10-2014,
CA273434,1,,02-04-2013,
CA273435,1,,04-04-2013,
CA273528,1,,20-05-2021,
CA273529,1,,10-02-2021,
CA273530,1,,29-04-2021,
CA276090,5,8,26-04-2011,09-04-2021
CA276091,8,1,19-05-2015,23-12-2015
CA276204,8,19,12-03-2012,03-03-2021
CA276206,9,,25-07-2012,
CA276241,5,2,02-09-2011,05-09-2013
CA276271,7,3,16-10-2012,03-12-2013
CA276284,10,5,20-05-2015,20-03-2018
CA276286,9,3,13-05-2019,10-09-2019
CA276312,3,,01-09-2011,
CA276322,1,1,15-11-2017,20-04-2021
CA276367,5,,24-07-2012,
CA276477,7,5,08-12-2011,16-06-2016
CA276514,7,,02-04-2013,
CA276515,7,3,02-04-2013,14-09-2020
CA276652,4,6,22-03-2011,09-09-2020
CA276800,6,,29-08-2011,
CA276801,6,7,09-06-2015,14-11-2018
CA276821,1,2,05-05-2011,01-08-2017
CA279037,7,3,29-10-2020,22-04-2021
CA279043,12,,23-06-2021,
CA279044,15,,23-06-2021,
CA279075,12,,28-04-2021,
CA370016,7,1,25-03-2020,03-03-2021
CA370109,5,1,16-12-2013,03-08-2017
CA370133,6,1,27-02-2013,04-08-2017
CA370145,9,,04-02-2020,
CA370190,3,,31-08-2016,
CA370191,4,2,08-12-2016,29-01-2021
CA370203,6,7,13-03-2014,21-04-2021
CA370208,3,,23-07-2013,
CA370257,3,2,20-01-2014,04-08-2017
CA370367,7,,08-07-2020,
CA370368,7,,01-04-2020,
CA370381,6,,06-09-2013,
CA370382,5,,12-03-2014,
CA370424,4,3,23-01-2014,05-02-2020
CA370440,2,1,08-11-2018,24-11-2020
CA370441,1,4,30-08-2016,31-01-2018
CA370442,1,3,22-02-2016,12-08-2020
CA370454,2,1,22-11-2011,12-12-2019
CA370495,1,5,31-01-2014,06-11-2019
CA370497,1,3,05-03-2014,28-04-2017
CA370518,2,1,17-07-2012,17-09-2019
CA370601,1,,19-11-2018,
CA370602,1,,15-10-2018,
CA370603,1,,26-03-2014,
CA370720,1,3,28-01-2014,02-11-2016
CA370721,3,1,30-04-2019,20-02-2020
CA370731,1,4,30-08-2016,06-11-2018
CA370743,1,,25-10-2018,
CA370744,1,,04-09-2018,
CA373052,6,,25-03-2014,
CA373053,6,,28-06-2011,
CA373054,7,1,25-08-2010,21-11-2018
CA373060,8,,23-06-2016,
CA373063,5,,16-09-2008,
CA373064,7,,23-09-2013,
CA373066,5,5,09-09-2014,30-04-2021
CA373067,7,,28-04-2020,
CA373070,7,1,24-01-2020,17-04-2020
CA373071,7,,20-12-2017,
CA373072,8,,26-03-2020,
CA373086,5,3,24-05-2011,24-04-2020
CA373088,8,1,27-01-2020,04-03-2021
CA373089,8,,27-01-2020,
CA373090,6,,27-01-2020,
CA373091,7,,26-06-2020,
CA373092,6,3,10-12-2015,11-06-2020
CA373093,9,,27-01-2020,
CA373110,7,,23-03-2020,
CA373128,8,,06-12-2017,
CA373234,6,1,07-01-2010,29-05-2015
CA373246,6,,14-04-2014,
CA373248,5,2,15-01-2015,11-06-2020
CA373262,7,,07-07-2017,
CA373267,7,,07-07-2017,
CA373281,7,,25-05-2021,
CA373286,5,,01-05-2019,
CA373287,4,,30-06-2009,
CA373291,4,2,25-09-2009,15-04-2020
CA373295,0,,15-06-2021,
CA373302,4,,17-04-2014,
CA373320,2,,04-10-2013,
CA373322,2,,16-09-2013,
CA373323,2,,29-01-2014,
CA373324,2,1,07-01-2011,17-09-2018
CA373325,4,1,27-09-2013,19-06-2018
CA373330,5,,27-10-2020,
CA373331,5,,19-04-2021,
CA373334,1,,31-03-2010,
CA373336,3,,24-03-2014,
CA373337,6,,14-04-2021,
CA373338,6,,08-03-2016,
CA373341,4,,11-10-2012,
CA373343,4,1,25-03-2014,27-09-2019
CA373346,4,,20-03-2014,
CA373349,4,,29-01-2014,
CA373351,4,,04-04-2014,
CA373353,6,,14-06-2016,
CA373354,6,,11-10-2016,
CA373394,6,,13-07-2020,
CA373417,1,,21-03-2013,
CA373418,1,,18-12-2012,
CA373429,1,,27-03-2013,
CA373431,1,,29-01-2013,
CA373462,2,,28-07-2017,
CA373463,6,1,05-01-2018,14-05-2018
CA373464,1,,26-10-2018,
CA373468,2,,17-06-2020,
CA373469,1,,17-06-2020,
CA373472,1,,20-11-2020,
CA373473,2,,25-01-2021,
CA373481,2,,09-08-2019,
CA373484,1,2,07-08-2019,11-06-2020
CA373486,1,1,24-01-2020,20-04-2020
CA373489,2,,10-03-2020,
CA373500,3,,16-04-2021,
CA373501,1,,24-03-2021,
CA373502,1,,22-03-2021,
CA373503,2,,19-10-2020,
CA376011,10,9,07-07-2011,01-10-2015
CA376024,1,,13-03-2013,
CA376032,2,2,29-12-2015,30-10-2019
CA376044,4,3,11-07-2011,15-01-2020
CA376045,5,1,06-09-2011,06-09-2012
CA376047,7,,15-04-2021,
CA376049,3,1,12-11-2014,31-07-2017
CA376050,5,,09-04-2018,
CA376061,7,3,24-08-2011,31-07-2017
CA376062,9,1,10-05-2019,10-09-2019
CA376067,5,9,15-07-2013,26-02-2021
CA376070,5,,11-03-2011,
CA376075,5,4,10-09-2014,16-03-2018
CA376076,1,2,23-11-2011,31-01-2012
CA376083,5,3,24-08-2017,25-10-2018
CA376093,6,7,17-02-2017,05-02-2021
CA376094,8,1,20-12-2016,16-08-2017
CA376102,6,2,26-11-2013,12-07-2017
CA376106,6,4,29-03-2012,19-03-2019
CA376109,7,2,08-02-2011,30-04-2012
CA376120,6,,25-03-2011,
CA376134,6,2,13-05-2019,06-10-2020
CA376135,7,2,09-12-2011,01-08-2017
CA376137,8,4,03-07-2015,05-05-2020
CA376153,1,3,08-12-2016,18-01-2019
CA376161,2,1,17-01-2020,28-04-2020
CA376164,7,,22-04-2015,
CA376167,6,2,15-02-2017,05-12-2017
CA376173,9,2,01-12-2016,28-11-2017
CA376176,1,3,09-03-2015,17-06-2020
CA376230,6,3,08-08-2011,02-08-2017
CA376233,2,4,09-06-2014,29-03-2017
CA376243,1,2,22-02-2013,02-08-2017
CA376248,6,3,31-03-2011,07-06-2012
CA376249,2,,15-10-2018,
CA376272,5,1,26-11-2020,27-04-2021
CA376278,6,,25-11-2020,
CA376289,7,3,21-07-2015,18-07-2018
CA376293,1,1,29-07-2015,02-08-2017
CA376295,4,,02-12-2008,
CA376296,1,3,30-11-2015,05-01-2018
CA376303,6,2,15-03-2011,14-06-2013
CA376308,1,1,23-11-2017,03-03-2021
CA376309,1,2,13-03-2013,28-07-2017
CA376316,1,1,03-06-2014,25-03-2015
CA376330,6,,25-07-2012,
CA376336,1,1,28-08-2014,08-08-2017
CA376337,1,1,29-08-2014,31-07-2017
CA376339,4,2,26-10-2011,01-08-2017
CA376340,4,1,01-11-2011,31-10-2014
CA376351,2,2,24-06-2011,31-07-2017
CA376355,7,1,20-03-2011,03-11-2011
CA376356,2,2,27-10-2011,01-08-2017
CA376358,2,4,27-10-2011,26-10-2017
CA376361,2,1,22-03-2011,09-12-2014
CA376362,2,2,07-11-2011,01-08-2017
CA376363,1,,12-03-2014,
CA376368,3,2,05-01-2017,06-02-2019
CA376370,2,2,23-03-2011,31-07-2017
CA376371,4,1,02-12-2011,23-02-2012
CA376429,1,2,23-06-2016,01-03-2021
CA376483,3,1,19-01-2017,01-08-2017
CA376597,4,2,16-03-2011,01-08-2017
CA376616,1,3,22-07-2016,15-11-2017
CA376619,1,5,05-01-2016,30-04-2021
CA376625,1,7,26-08-2015,09-04-2020
CA376627,2,,19-10-2018,
CA376650,3,,27-09-2012,
CA376655,2,,22-07-2011,
CA376656,4,,27-10-2020,
CA376660,1,3,18-10-2011,11-05-2018
CA376669,2,2,24-11-2011,02-08-2017
CA376691,1,1,11-07-2014,20-02-2015
CA376738,1,,14-05-2020,
CA376739,1,,13-05-2020,
CA376807,6,2,19-11-2014,16-08-2019
CA376808,4,,29-04-2011,
CA376811,3,1,22-12-2014,02-08-2017
CA376820,3,4,27-03-2014,21-10-2020
CA376822,2,2,16-11-2011,02-08-2017
CA376823,2,,21-11-2011,
CA379026,9,,08-04-2021,
CA379028,7,,31-05-2021,
CA379029,8,,15-04-2021,
CA379086,9,,20-04-2021,
CA379093,2,,12-04-2021,
CA379115,2,,24-03-2021,
CA379131,4,,12-04-2021,
CA379139,3,,20-04-2021,
CA379140,4,,12-04-2021,
CA379149,7,,22-06-2021,
CA379151,9,,12-07-2021,
CA379164,3,,19-04-2021,
CA379182,2,,09-04-2021,
CA379216,8,,27-04-2021,
CA379232,2,,14-04-2021,
CA470003,6,1,08-06-2020,24-02-2021
CA470004,6,3,04-06-2019,02-04-2020
CA470005,8,2,23-01-2020,25-03-2021
CA470017,6,,30-01-2020,
CA470019,6,3,07-03-2013,16-08-2017
CA470022,6,4,22-02-2013,23-11-2018
CA470031,7,,17-10-2019,
CA470036,7,,21-10-2019,
CA470042,5,4,15-01-2014,28-07-2020
CA470062,3,,28-03-2013,
CA470070,8,1,27-04-2020,25-11-2020
CA470074,6,3,19-04-2017,04-01-2021
CA470075,11,1,23-10-2020,13-05-2021
CA470087,6,2,29-03-2016,03-12-2019
CA470103,5,2,23-01-2020,02-03-2021
CA470167,4,4,27-03-2013,22-09-2017
CA470178,2,2,06-04-2020,09-10-2020
CA470194,5,1,13-12-2012,13-08-2020
CA470197,3,,19-10-2018,
CA470204,1,,24-10-2018,
CA470218,6,,10-06-2021,
CA470259,4,,21-11-2011,
CA470264,1,,08-01-2015,
CA470266,3,2,27-03-2013,15-08-2019
CA470268,2,1,02-04-2012,25-09-2019
CA470269,3,1,26-03-2019,25-09-2019
CA470280,4,1,05-09-2014,24-02-2015
CA470283,2,,03-10-2016,
CA470284,1,,28-03-2014,
CA470306,6,,10-10-2019,
CA470307,6,2,07-10-2019,04-05-2021
CA470309,7,,09-10-2019,
CA470310,6,,16-10-2019,
CA470311,7,,02-10-2019,
CA470312,6,,23-10-2019,
CA470313,7,,24-10-2019,
CA470314,7,1,12-04-2017,23-11-2020
CA470315,6,2,21-04-2017,30-03-2020
CA470322,6,,24-01-2018,
CA470324,6,3,31-03-2016,09-08-2018
CA470330,6,,19-02-2020,
CA470334,5,,28-08-2012,
CA470337,5,3,28-09-2012,24-10-2019
CA470338,7,9,01-08-2012,10-03-2021
CA470339,5,1,04-06-2014,15-10-2014
CA470340,5,1,23-12-2014,10-12-2018
CA470341,5,2,28-04-2011,15-05-2018
CA470342,5,2,14-01-2010,08-02-2021
CA470351,5,2,11-07-2014,18-04-2018
CA470352,5,8,21-07-2014,13-05-2021
CA470354,6,3,12-06-2014,03-07-2018
CA470355,5,4,13-06-2014,04-12-2019
CA470358,4,5,21-03-2014,21-02-2019
CA470359,2,2,20-03-2013,13-11-2019
CA470360,2,1,22-03-2013,06-02-2018
CA470363,8,1,11-12-2014,04-03-2015
CA470364,8,2,14-02-2019,26-01-2021
CA470369,7,1,26-10-2016,04-10-2018
CA470370,5,,22-09-2016,
CA470376,4,,05-01-2015,
CA470379,6,1,24-03-2014,06-10-2016
CA470380,4,1,14-04-2014,15-09-2015
CA470385,6,1,01-09-2016,21-11-2019
CA470386,5,2,26-05-2014,19-11-2018
CA470411,3,,09-04-2019,
CA470415,2,,07-05-2013,
CA470431,4,2,21-05-2015,05-02-2020
CA470434,3,2,30-01-2014,08-11-2016
CA470523,3,1,07-02-2019,25-09-2019
CA470568,5,,01-09-2016,
CA470569,4,1,29-03-2016,17-12-2019
CA470577,5,,06-09-2017,
CA470581,3,,25-11-2013,
CA470584,4,1,30-01-2018,31-05-2018
CA470587,3,,23-09-2014,
CA470588,3,1,08-01-2014,20-02-2020
CA470590,4,2,31-10-2017,23-02-2021
CA470593,3,3,08-01-2014,16-12-2020
CA470594,3,,26-03-2014,
CA470597,6,,24-06-2021,
CA470598,4,,10-10-2019,
CA470604,1,,26-03-2014,
CA470605,1,,26-01-2018,
CA470606,3,,29-01-2018,
CA470607,2,,11-04-2016,
CA470611,2,2,01-11-2017,09-01-2018
CA470613,1,3,30-10-2017,02-03-2021
CA470615,2,5,29-11-2013,14-02-2018
CA470616,2,,03-12-2013,
CA470618,4,4,27-10-2015,24-10-2018
CA470620,2,1,07-08-2012,18-07-2017
CA470622,2,2,03-10-2012,02-10-2014
CA470624,3,1,26-04-2017,13-12-2017
CA470658,2,2,30-01-2013,06-12-2018
CA470659,2,1,30-01-2013,22-06-2015
CA470725,1,1,09-07-2019,05-05-2020
CA470726,2,,05-04-2018,
CA470730,2,,03-11-2017,
CA470733,1,,22-01-2018,
CA470756,2,2,14-04-2020,31-12-2020
CA473025,6,4,27-05-2011,07-09-2018
CA473034,7,1,22-06-2017,10-09-2018
CA473035,7,1,31-03-2016,10-02-2021
CA473036,8,,15-09-2020,
CA473043,4,,26-05-2011,
CA473045,6,3,02-09-2011,17-11-2020
CA473111,9,2,13-03-2017,15-02-2021
CA473229,7,1,26-10-2011,20-04-2017
CA473232,8,3,13-03-2017,23-06-2020
CA473251,7,,31-08-2016,
CA473255,5,,31-12-2010,
CA473271,5,2,03-12-2010,16-07-2020
CA473272,5,1,30-07-2013,19-06-2020
CA473275,7,2,20-02-2015,23-08-2018
CA473276,5,,14-07-2020,
CA473277,0,,15-06-2021,
CA473285,4,1,11-07-2011,04-03-2015
CA473288,5,1,26-06-2019,05-11-2020
CA473297,4,,04-11-2014,
CA473300,7,3,30-12-2014,18-06-2020
CA473305,6,,30-01-2020,
CA473317,6,2,28-06-2017,05-02-2019
CA473319,2,,27-09-2013,
CA473321,2,,31-07-2013,
CA473332,5,,06-04-2021,
CA473342,6,,19-06-2012,
CA473350,4,,07-03-2014,
CA473355,4,1,05-11-2014,14-09-2018
CA473365,1,,29-01-2010,
CA473379,2,1,10-03-2014,12-05-2017
CA473381,1,,13-04-2012,
CA473413,1,,11-10-2012,
CA473414,1,,30-04-2013,
CA473415,1,,30-04-2013,
CA473425,2,,07-10-2015,
CA473426,1,,15-01-2013,
CA473436,1,,16-01-2013,
CA473437,0,,15-06-2021,
CA473438,1,,05-12-2013,
CA473439,1,,30-09-2014,
CA473446,1,,25-11-2015,
CA473447,2,1,17-02-2017,17-09-2018
CA473448,2,,06-03-2017,
CA473449,2,1,03-03-2017,03-10-2018
CA473450,2,,03-03-2017,
CA473451,3,,03-12-2018,
CA473456,3,,13-07-2021,
CA473457,1,,13-02-2015,
CA473458,1,,13-02-2015,
CA473459,1,1,09-01-2015,09-02-2015
CA473460,1,,27-02-2015,
CA473467,1,,15-07-2016,
CA473474,1,,07-08-2019,
CA473475,2,,22-02-2021,
CA473476,1,,06-07-2017,
CA473477,1,,12-10-2018,
CA473483,3,,16-02-2017,
CA473485,1,,13-02-2019,
CA473490,1,2,28-02-2019,14-04-2021
CA473491,2,,03-05-2019,
CA473493,2,,10-12-2019,
CA473495,1,,21-06-2021,
CA473497,1,,29-04-2019,
CA473499,2,,02-02-2021,
CA473519,1,1,19-07-2019,10-09-2019
CA473525,1,,23-01-2020,
CA473531,1,,26-05-2021,
CA473542,1,,30-04-2021,
CA476006,6,2,16-03-2011,15-01-2015
CA476009,10,,31-05-2021,
CA476023,1,3,17-06-2013,03-08-2017
CA476027,1,6,14-03-2013,16-12-2020
CA476028,1,3,12-03-2013,15-06-2021
CA476035,5,,25-07-2012,
CA476043,8,,10-01-2018,
CA476048,5,1,19-11-2010,23-10-2012
CA476051,1,3,13-01-2015,03-08-2017
CA476063,10,2,04-12-2017,07-10-2020
CA476068,4,2,01-09-2011,03-08-2017
CA476069,3,6,31-08-2011,01-03-2021
CA476071,5,,30-03-2021,
CA476073,5,,30-03-2021,
CA476074,4,,30-03-2021,
CA476079,7,6,26-06-2013,30-03-2021
